"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene653",0.00547109131444915,-0.160106995733582,1,1,1
"Gene1388",0.00573201124103155,-0.142563570058269,0.996,1,1
"Gene200",0.00576474146373088,0.125082159663377,0.996,0.988,1
"Gene1901",0.00586363859794501,-0.163578194962667,0.977,0.979,1
"Gene1794",0.00594207661782567,-0.16563930926356,0.992,0.996,1
"Gene1138",0.00606109582184851,0.147402928618346,0.996,0.992,1
"Gene1038",0.00607828737932326,0.151616519775915,0.996,0.996,1
"Gene982",0.0061300546728416,-0.155329848071267,0.981,0.996,1
"Gene127",0.0061300718524352,0.164117905838503,1,0.992,1
"Gene682",0.00613584918692257,0.162317571502224,1,0.983,1
"Gene342",0.00640108783234629,-0.121165641748014,0.996,0.996,1
"Gene406",0.00652221803421816,-0.149865006404667,0.992,1,1
"Gene434",0.00694973725781062,0.142946244961546,0.996,0.992,1
"Gene582",0.00715285272289239,-0.15466580904193,0.992,0.996,1
"Gene1545",0.00754028446492933,-0.16021906610897,0.992,0.996,1
"Gene756",0.00754722885363817,-0.155925330929685,0.996,0.992,1
"Gene1179",0.00763118621107597,-0.159312684182404,0.977,1,1
"Gene1748",0.00786654905040788,-0.162574338279692,0.992,1,1
"Gene1159",0.00792457480458713,-0.157957361298544,0.992,0.996,1
"Gene751",0.00809348348617446,0.152103558033588,0.988,1,1
"Gene464",0.0081978814694069,0.13855837071604,0.996,0.996,1
"Gene741",0.00840264498777726,0.16778056125689,0.992,0.992,1
"Gene938",0.0085416215400253,0.149853680776464,0.992,0.983,1
"Gene1404",0.0085806332860476,-0.172370342416752,0.984,0.996,1
"Gene511",0.00861193109309287,0.169685787986933,0.992,0.992,1
"Gene546",0.00862765179086632,-0.149434360494052,0.984,1,1
"Gene1868",0.00874614559906098,0.144456262494111,0.996,0.988,1
"Gene77",0.00884194210618091,-0.132520871250703,0.992,0.992,1
"Gene37",0.0093521162838752,0.136220634913001,0.992,0.988,1
"Gene1796",0.00935219784941713,-0.143715425452142,0.996,1,1
"Gene1336",0.00982662355963178,0.141401804942746,1,0.996,1
"Gene1958",0.0101033813170812,0.1227502219032,1,0.992,1
"Gene160",0.0104986700789393,-0.146597103848622,0.984,0.988,1
"MT-18",0.0106303151942281,-0.154383159622316,0.981,0.992,1
"Gene302",0.0107253179745871,-0.148392098697991,0.988,0.992,1
"Gene229",0.0107922315108312,-0.149494849325813,0.988,0.988,1
"Gene974",0.0107922977885643,-0.165225064122181,0.996,1,1
"Gene762",0.0110342388336037,-0.134216577558101,0.992,0.996,1
"Gene1118",0.0112910583574782,0.148073214525425,0.992,0.996,1
"Gene1951",0.0113610463152596,0.157316515160776,1,0.992,1
"Gene1267",0.011421416835035,0.129146212625742,0.996,0.996,1
"Gene1457",0.0116449958487284,0.156381470918528,0.996,0.979,1
"Gene1505",0.0116553345247851,0.152231349645416,0.984,0.996,1
"Gene52",0.011820553994062,0.138321896689634,0.988,0.992,1
"Gene895",0.0120722834922448,0.145442441638202,0.996,0.992,1
"Gene60",0.0121572630253199,-0.134346171560686,0.988,0.996,1
"Gene1917",0.0122320066627273,-0.160522360666325,0.984,0.996,1
"Gene1033",0.0122856949782508,0.154778417015015,1,0.983,1
"Gene481",0.0123288096167726,0.148347902120908,0.992,0.996,1
"Gene1524",0.0123936540681138,-0.157321785826212,0.996,1,1
"Gene865",0.0124044950025254,-0.130038930686025,0.984,1,1
"Gene1982",0.0124479554164041,0.165919675111802,1,0.992,1
"Gene1782",0.0126009774949229,0.140232964736491,0.992,0.983,1
"Gene78",0.0129573309943733,0.136729973424808,0.992,0.996,1
"Gene417",0.0130818675252821,-0.123990719964424,0.992,0.992,1
"Gene1414",0.0135435603186868,-0.139160921761947,0.977,1,1
"Gene197",0.0136023726906939,0.15484509494252,0.996,0.992,1
"Gene284",0.0137086137656103,0.131075285826063,0.996,1,1
"Gene1187",0.0139353426763337,-0.149429965026206,0.988,0.992,1
"Gene1908",0.0140802799608958,-0.1353931242772,1,1,1
"Gene1394",0.014165292234455,-0.136958143461619,0.988,0.983,1
"Gene65",0.014238750624663,-0.132912309420589,0.996,0.996,1
"Gene133",0.01423879949712,0.133028400713279,0.992,1,1
"Gene412",0.0144980836882403,-0.16426883013179,0.984,0.996,1
"Gene1592",0.0147615990505223,0.125841613619917,0.996,0.992,1
"Gene122",0.0150549612088449,0.144100636429197,1,0.988,1
"Gene1124",0.0153534984157787,0.14340435134838,0.992,0.983,1
"Gene1915",0.0157373438785616,0.127514918561449,1,0.992,1
"Gene314",0.0163359080898815,-0.124814555152053,0.996,0.996,1
"Gene1680",0.0163912970646983,0.137001169956665,0.996,0.992,1
"Gene1763",0.0164190611205885,-0.160065734312929,0.988,0.996,1
"Gene708",0.0165304789491341,0.157898174008758,0.996,0.988,1
"Gene1121",0.0165304867350739,0.133130246084188,1,0.992,1
"Gene1815",0.0171553455781687,0.108595679447322,0.992,0.996,1
"Gene1485",0.0172276342736782,0.123258449391061,0.992,0.992,1
"Gene1304",0.0172565441649297,0.136415508242176,0.992,0.983,1
"Gene1204",0.0175195761365462,0.137471394836354,0.996,0.996,1
"Gene1096",0.017534188899944,0.105824902952254,0.992,0.992,1
"Gene297",0.0175636309503408,0.145232734568592,0.992,0.988,1
"Gene618",0.0179354480040641,0.137719810963539,0.996,0.983,1
"Gene446",0.0179504858476862,0.14326636450147,0.996,0.988,1
"Gene1960",0.0179655044103485,0.13799681677788,1,0.996,1
"Gene175",0.0186374883961422,-0.143043384081966,0.984,0.996,1
"Gene948",0.0190607061886719,0.147027984691378,0.988,0.988,1
"Gene491",0.0190924176813641,0.137034296024285,0.984,0.996,1
"Gene1882",0.0198174528990488,-0.145256979501283,0.992,0.996,1
"Gene824",0.0198830874996704,-0.115731646262735,0.996,1,1
"Gene652",0.019948917702568,0.136885709527924,1,0.996,1
"Gene615",0.0204989905189524,-0.126125847590489,0.992,0.996,1
"Gene217",0.0207191580226789,0.128081734836168,0.992,0.992,1
"Gene1491",0.0209243794689368,-0.138023461132978,0.988,0.992,1
"Gene1438",0.0216741937639568,-0.143528602511344,0.981,1,1
"Gene525",0.0217096402678686,0.107763929116296,0.996,0.992,1
"Gene1112",0.0218876051612634,0.10300018178023,0.988,0.996,1
"Gene1251",0.0225018490778813,0.101657523922688,0.992,0.975,1
"Gene597",0.0231315988727842,0.144338283849907,0.996,0.992,1
"Gene219",0.0237188023184713,-0.129838480575102,0.988,1,1
"Gene1614",0.0237379510336563,0.127444124456418,0.988,1,1
"Gene1328",0.0238340037031243,-0.155929511400394,0.996,0.996,1
"Gene1913",0.0239688549067189,0.103788336422606,0.992,0.992,1
"Gene1785",0.0240656458814575,-0.122484504151964,0.992,1,1
"Gene935",0.024416865171539,-0.11637726267592,0.996,1,1
"Gene1604",0.0244759116089394,0.114801837689097,1,1,1
"Gene1236",0.0248124280931607,-0.130481218499133,0.988,1,1
"Gene891",0.0250321987280352,0.124547788501199,0.988,0.992,1
"Gene951",0.0259286852960563,-0.13152077482761,0.996,0.996,1
"Gene886",0.0262196682974508,-0.12697093011166,0.992,0.996,1
"Gene1477",0.0262196826892482,-0.140318454794425,0.996,1,1
"Gene696",0.0263242991469353,-0.130806504635104,0.992,1,1
"Gene1953",0.0267249248901303,-0.131687920728336,0.992,0.983,1
"Gene180",0.0271311560712961,-0.115231758621548,0.992,0.996,1
"Gene1507",0.0274771505375666,-0.128653668779934,0.992,0.996,1
"Gene579",0.0278709728335151,-0.139091909379916,0.992,0.988,1
"Gene844",0.027937027587229,-0.107949433862379,0.996,0.979,1
"Gene1232",0.0283589782821003,0.128412902745718,0.996,0.979,1
"Gene575",0.0288090451837192,0.12297128626182,0.996,0.988,1
"Gene508",0.0288317247942061,0.124205595187105,1,1,1
"Gene1611",0.029196294878863,0.101367992912694,1,0.975,1
"Gene1584",0.0294724257798732,0.138700021788104,1,0.988,1
"Gene1111",0.0297274135456095,0.125855537268133,1,0.988,1
"Gene106",0.0298674148021092,-0.132175899768038,0.988,0.996,1
"Gene334",0.0299142273328928,0.121152748692504,1,1,1
"Gene1216",0.0300079231949336,0.116722336395194,0.996,0.996,1
"Gene1379",0.0310072784003934,-0.126629166304398,0.988,0.992,1
"Gene716",0.0310555240949771,0.145824969463559,0.996,0.983,1
"Gene1866",0.0315665342317772,-0.149241587854672,0.992,0.988,1
"Gene723",0.0315665750575669,-0.121584851620041,0.996,0.992,1
"Gene954",0.0316646886808936,-0.101230989338639,0.984,0.996,1
"Gene832",0.032134502170625,-0.141868228588812,0.992,0.992,1
"Gene1613",0.0323591462415126,-0.111421528996594,0.992,1,1
"Gene1918",0.0324091363284438,-0.142947475616739,0.988,0.992,1
"Gene1406",0.0325344117616393,-0.132443183309988,0.992,0.975,1
"Gene354",0.0326102684767035,-0.128256419908216,0.988,1,1
"Gene1631",0.0328123260712286,-0.112323941470568,0.996,0.988,1
"Gene1402",0.0328376060943469,-0.109004394036441,1,0.988,1
"Gene274",0.0328376857429398,0.102352736537275,1,0.996,1
"Gene896",0.0333993911532438,-0.13133595865882,0.992,0.996,1
"Gene900",0.0336833387198327,-0.139843291370987,0.988,1,1
"Gene869",0.0337866151525646,-0.128735410166138,0.984,0.979,1
"Gene730",0.03399540218171,0.118774432549939,0.992,0.992,1
"Gene1978",0.0340477203218711,0.127698645518342,1,0.992,1
"Gene190",0.0340996558702031,-0.113692190179592,0.984,0.983,1
"Gene636",0.034468162721706,0.140585078006102,0.996,0.992,1
"Gene1425",0.034919542961976,0.119969473077249,0.981,0.992,1
"Gene643",0.0350804056289062,-0.110411325966628,0.988,1,1
"Gene684",0.0359202924637348,0.112407055448691,0.992,0.992,1
"Gene1441",0.0360299111331362,-0.130716944025388,1,0.996,1
"Gene903",0.0363328318954773,0.10360009648493,1,0.996,1
"Gene1735",0.0367768276846993,0.128795828282364,0.992,0.975,1
"Gene1722",0.0368330110877577,-0.112288557711285,0.981,1,1
"Gene41",0.0369731108032546,-0.135895949247947,0.992,0.992,1
"Gene1363",0.0370011143463422,0.14754913238652,0.988,0.992,1
"Gene1518",0.0371412805731152,-0.127529463507661,0.977,0.988,1
"Gene43",0.0377084742383564,-0.130647642832597,0.988,0.988,1
"Gene88",0.0377656490771616,0.12794548891331,0.996,0.988,1
"Gene194",0.0380522371235026,-0.136160739748446,0.992,1,1
"Gene1302",0.0381672177331201,-0.146709918923261,0.984,0.996,1
"MT-10",0.0384273900591756,0.125053980881689,0.996,0.988,1
"Gene1583",0.0390694902351265,0.119667471323041,0.988,0.992,1
"Gene206",0.039246222696605,0.102991940957487,1,0.996,1
"Gene1608",0.0404115593925704,-0.116609116144206,0.992,0.992,1
"Gene1563",0.0404417330191688,-0.116803890411858,0.992,0.996,1
"Gene1400",0.0407756225059635,0.131317982059694,0.988,0.979,1
"Gene627",0.0425766819630447,0.116691502066549,1,0.983,1
"Gene1783",0.0431488666663991,-0.131355485457568,0.988,0.996,1
"Gene76",0.0432450965569853,-0.12523821802686,0.996,0.996,1
"Gene1806",0.0439871235871936,-0.121046905843542,1,0.996,1
"Gene233",0.0439871337335827,-0.116444122836376,0.984,0.996,1
"MT-11",0.0441499699095219,-0.129648337620277,0.992,0.996,1
"Gene1082",0.0445424165487548,0.105868594106915,0.996,0.975,1
"Gene569",0.0448389483065957,-0.116153791211198,0.996,0.992,1
"Gene1450",0.0451039428361059,-0.107876830565985,0.992,0.996,1
"Gene312",0.0451703844673428,0.131226202522018,0.992,0.988,1
"Gene740",0.0459403019259156,-0.145677953837682,0.988,0.996,1
"Gene973",0.0459739679766412,0.111079112479753,1,0.983,1
"Gene1401",0.046244527578505,0.119971877286708,0.992,0.988,1
"Gene271",0.0465162688971454,0.113309289732986,0.992,0.983,1
"Gene1690",0.0466871327282064,0.125202044001815,0.996,0.996,1
"Gene517",0.0469610182027,0.109884062077257,1,1,1
"Gene583",0.0474786657356753,-0.121219984573538,0.996,0.996,1
"Gene1021",0.0480709830069029,-0.132404513944328,0.992,0.996,1
"Gene92",0.0480710205645585,0.11658405901762,0.996,0.996,1
"Gene791",0.0483165183436095,0.109149227951244,0.988,0.988,1
"Gene1197",0.0490244525264184,0.115736343530533,1,1,1
"Gene836",0.0491670670234018,0.123456774940153,0.988,0.996,1
"Gene1380",0.0492027600222785,-0.118118117018149,0.988,0.996,1
"Gene181",0.0497049030097391,0.117528818396578,0.996,0.992,1
"Gene474",0.0497049358794722,0.116911241779637,1,0.988,1
"Gene1010",0.0497769325279502,-0.109989121729293,0.992,1,1
"Gene1048",0.0502841080438901,-0.113297630979243,0.992,0.992,1
"Gene1238",0.0509055735281733,0.109399206514765,0.996,1,1
"Gene1474",0.0509421769813567,0.125223225406613,0.992,0.988,1
"Gene29",0.051459288738376,0.11724385715265,1,0.992,1
"Gene1662",0.0517193134870261,0.114374694568422,1,0.983,1
"Gene1800",0.0522054246292478,0.101974873031647,1,0.988,1
"Gene1497",0.0526950495238557,-0.150178332806577,0.988,0.988,1
"Gene1015",0.0535712461429544,-0.101302330726071,0.996,0.996,1
"Gene809",0.0537248378433744,-0.126491267922889,0.992,1,1
"Gene799",0.0540717738078441,0.124668909019566,0.996,0.988,1
"Gene1702",0.054342914708999,-0.119627143686138,1,0.992,1
"Gene31",0.0543817084784857,-0.105870797536358,0.996,0.992,1
"Gene1314",0.0547712794787033,0.10921570322548,0.992,1,1
"Gene1374",0.0548884952630283,0.102829892688498,1,0.992,1
"Gene780",0.055241363706638,0.129621256747614,0.992,0.979,1
"Gene1616",0.0552415565993428,-0.116101406330429,0.984,0.996,1
"Gene721",0.0552416793492996,-0.104292140987678,0.996,1,1
"Gene883",0.0557151894126673,-0.139928490048595,0.992,0.979,1
"Gene1753",0.0557947248018797,-0.125211614642635,0.992,0.996,1
"Gene921",0.0561129378697165,-0.121260744139109,0.992,1,1
"Gene1964",0.056352416521338,-0.12044879952391,0.988,0.992,1
"Gene1598",0.0565929057969083,-0.117592199101411,0.996,0.992,1
"Gene470",0.0573600175498179,0.102089367514921,0.996,0.996,1
"Gene611",0.0577669406411726,0.119569763125114,1,0.975,1
"Gene1994",0.058506192728366,0.120678789685661,1,0.996,1
"Gene1851",0.0590862447815707,-0.121893792395274,0.988,0.996,1
"MT-14",0.0596712588078321,0.110655191887238,1,0.996,1
"Gene26",0.0597553036668138,0.110192777391535,1,0.992,1
"Gene892",0.0597971513817973,-0.112434124701111,0.992,0.983,1
"Gene1145",0.0607703910188962,0.113084321585256,0.996,1,1
"Gene1881",0.0614120413991916,-0.112655014748217,0.988,1,1
"Gene904",0.0621894565940567,0.103521233519844,0.996,0.992,1
"Gene1945",0.0624937768807397,0.104855872440474,0.996,0.983,1
"Gene1620",0.0632825792077194,-0.102536611044716,1,0.996,1
"Gene1353",0.0637686561015541,0.109802444217967,0.988,0.996,1
"Gene802",0.0639458894305656,-0.103742061533254,0.984,0.992,1
"Gene1533",0.0648846016270237,0.119977468533131,0.996,0.988,1
"Gene1553",0.0653808458460056,-0.109853776612144,0.996,1,1
"Gene1687",0.0662908629071973,0.116133403329551,0.996,0.992,1
"Gene1754",0.0670264842636183,0.102307839243813,0.992,1,1
"Gene1560",0.0683768791188581,-0.107463421257813,0.996,0.996,1
"Gene282",0.0687531547690217,0.102263914068896,0.992,0.992,1
"Gene1575",0.0696540482721395,-0.106879608856824,1,1,1
"Gene1164",0.0700841596309144,0.105957619029898,0.996,1,1
"Gene658",0.0710474473469102,0.125874109128318,0.992,0.988,1
"Gene1090",0.0710475761184116,0.110869408821038,0.992,0.992,1
"Gene331",0.0721188741408415,0.100203957809114,0.988,0.971,1
"Gene1235",0.0721197900655916,0.111964220294033,0.992,0.983,1
"Gene1085",0.0728587397252279,0.105713641749462,0.992,0.992,1
"Gene1415",0.0736036724515312,-0.105659921164073,0.988,0.996,1
"Gene389",0.0737534786348528,-0.100374006667132,0.992,1,1
"Gene1014",0.0747579507135236,-0.105910678209867,0.988,0.996,1
"Gene1829",0.076131779322774,0.123722471819845,0.984,0.996,1
"Gene1117",0.0761831552690253,0.128326342287911,0.996,0.988,1
"Gene1076",0.0769039785965346,0.112889371183473,1,1,1
"Gene1101",0.0777865610096665,-0.112724808402191,0.984,0.992,1
"Gene407",0.0782574784627254,-0.115158458805648,1,0.992,1
"Gene1663",0.0790999047883333,-0.11607027655573,1,0.996,1
"Gene1625",0.0796834357706793,-0.106359327313807,0.996,0.992,1
"Gene659",0.0797365946724252,0.115913211408641,1,0.988,1
"Gene1174",0.0804845065194747,0.110566981053376,0.992,0.983,1
"Gene1165",0.0809685435617074,0.109584278473862,0.988,0.996,1
"Gene1285",0.0822159891649502,0.106563558368614,0.992,0.996,1
"Gene1184",0.082489204532003,0.103844270613469,1,0.996,1
"Gene1295",0.0830376438299634,0.104000077801866,0.988,0.996,1
"Gene714",0.0833682893404238,0.119072189823842,0.992,0.996,1
"Gene1758",0.0839217688614326,0.103491413077785,0.992,0.996,1
"Gene939",0.0841994767681391,0.10058907981389,0.984,0.992,1
"Gene999",0.0850375156847504,0.1096725021569,1,0.992,1
"Gene466",0.0852057712730787,0.101031633455412,0.992,0.983,1
"Gene1897",0.0858819100211278,0.113014746984495,0.988,0.988,1
"Gene699",0.0859386984879929,-0.107709013011526,0.996,0.996,1
"Gene528",0.0890952222928582,-0.115102656209787,0.984,0.992,1
"Gene773",0.0902073354593043,-0.10514897496019,0.984,1,1
"Gene1383",0.0909746064219254,0.113181965143588,0.996,0.992,1
"Gene805",0.0913305682747333,0.102606238487895,1,0.996,1
"Gene591",0.092464804879135,0.106653989357996,0.996,0.992,1
"Gene1694",0.0925247401866643,0.10505326243213,0.996,0.983,1
"Gene697",0.0927650758401749,0.100835799837319,0.996,0.983,1
"Gene1530",0.0943397120552737,-0.110606509653697,0.984,0.996,1
"Gene807",0.0947673626063938,-0.105607102853939,0.996,0.983,1
"Gene145",0.0964932629396466,0.121599338741688,0.992,0.988,1
"Gene516",0.0978668752744564,0.116642792509942,0.992,0.992,1
"Gene1701",0.0990020160354414,-0.113153549642151,0.984,0.992,1
"Gene1153",0.101111228697966,0.105171484042538,0.992,1,1
"Gene1152",0.101692198289269,-0.116889854322496,0.977,0.996,1
"Gene648",0.102081449859617,0.109617307617879,0.996,0.983,1
"Gene1542",0.102341575827376,-0.101672666373574,0.984,1,1
"Gene1677",0.104109818790465,-0.112098899340146,0.973,0.996,1
"Gene343",0.104837999839381,-0.1211893426865,0.981,1,1
"Gene1286",0.108809734886402,-0.117381379465993,0.996,0.992,1
"Gene499",0.108878070802556,0.10300684969979,0.996,0.996,1
"Gene899",0.111708873176791,0.11379484843288,1,1,1
"Gene1683",0.11374578131972,-0.119102175440762,0.988,0.996,1
"Gene207",0.11566871305976,0.111030945550839,0.996,1,1
"Gene644",0.115812168747777,0.108363917803677,0.996,0.996,1
"Gene560",0.117399030006027,0.104467942977388,1,0.996,1
"Gene1548",0.119370329071692,0.10184026010224,0.996,1,1
"Gene1300",0.120106798931086,-0.103617384074685,0.988,1,1
"Gene1099",0.120921082919842,-0.105363891068029,0.984,1,1
"Gene727",0.121441272183189,-0.127572597297668,0.988,0.992,1
"Gene1980",0.122337766956256,-0.125473653864125,0.988,1,1
"Gene1007",0.123994392708011,0.126664578683088,0.996,0.983,1
"Gene53",0.125591962560097,-0.103533001210078,0.988,0.996,1
"Gene547",0.131984137420375,-0.100709613126238,1,0.996,1
"Gene362",0.135922202010423,-0.104797965132924,0.988,1,1
"Gene1287",0.139867411690938,0.121929752018111,0.988,0.988,1
"Gene292",0.142292057990194,-0.102394414617758,0.973,0.988,1
"Gene1100",0.142462081887122,-0.10148824312153,0.992,0.992,1
"Gene678",0.146983239248895,-0.105372687810422,0.992,0.996,1
"Gene646",0.147760735269396,-0.117821746247719,0.981,0.988,1
"Gene187",0.152055609774824,-0.103653000329583,0.992,0.996,1
"Gene1037",0.156533868469369,0.102371305450319,0.992,0.979,1
"Gene670",0.158719526309066,-0.103439264103097,1,0.983,1
"Gene1696",0.180338812015989,0.102078432958121,0.988,0.988,1
"Gene1875",0.185633035989534,-0.100667065093717,0.984,1,1
"Gene1207",0.277307449254419,-0.107114119747122,0.984,0.988,1
